Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11413,SPRINGFIELD GARDENS,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,"Noise,Barking Dog (NR5)",,ADDRESS,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,10001,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,,,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10022,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11414,HOWARD BEACH,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11379,MIDDLE VILLAGE,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,,,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Residential,11103,ASTORIA,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Comercial,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Comercial,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11372,JACKSON HEIGHTS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q3_pctLatino,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Fixture/Luminaire Damaged,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Cycling,,,,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11432,JAMAICA,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,11364,OAKLAND GARDENS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Knocked Down,,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11357,WHITESTONE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11356,COLLEGE POINT,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11356,COLLEGE POINT,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11356,COLLEGE POINT,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11356,COLLEGE POINT,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Cycling,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11370,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11370,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Missing,,11379,MIDDLE VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11375,FOREST HILLS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Traffic Signal Light,,11363,LITTLE NECK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Traffic Signal Light,,11363,LITTLE NECK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Dayburning,,11418,RICHMOND HILL,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Dayburning,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Open,,,,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10021,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Vending,In Prohibited Area,Street/Sidewalk,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,"Rough,Pitted or Cracked Roads",Street,INTERSECTION,Unspecified,N,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10473,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Failed Street Repair,Street,10021,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Defective Hardware,Street,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Failed Street Repair,Street,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11220,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q1_pctAsian,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11435,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11423,HOLLIS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11423,HOLLIS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11364,OAKLAND GARDENS,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10011,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
BCC - Brooklyn South,Missed Collection (All Materials),1R Missed Recycling-All Materials,Sidewalk,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,"Noise,Barking Dog (NR5)",,ADDRESS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11212,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11415,KEW GARDENS,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11210,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11419,SOUTH RICHMOND HILL,Unspecified,,,Q3_pctMale,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11375,FOREST HILLS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Central - Department of Education,Teaching/Learning/Instruction,Academic Intervention Services,School,11236,BROOKLYN,279,School,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Restaurant/Bar/Deli/Bakery,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11385,RIDGEWOOD,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,11434,JAMAICA,Unspecified,,,,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,,
New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,11370,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11428,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11357,WHITESTONE,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11428,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Elevator,Elevator - Defective/Not Working,,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,Elevator,Elevator - Defective/Not Working,,11418,RICHMOND HILL,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Buildings,Elevator,Elevator - Defective/Not Working,,10075,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10035,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11366,FRESH MEADOWS,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11373,ELMHURST,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,11416,OZONE PARK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11365,FRESH MEADOWS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11429,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11691,FAR ROCKAWAY,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,11435,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11418,RICHMOND HILL,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Condition,Pothole,,11378,MASPETH,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11362,LITTLE NECK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,11436,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,10306,STATEN ISLAND,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Condition,Pothole,,10306,STATEN ISLAND,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10001,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Condition,Wear & Tear,,11422,ROSEDALE,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,RESIDENTIAL BUILDING,11222,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,RESIDENTIAL BUILDING,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10452,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10474,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Blocked - Construction,Street,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Blocked - Construction,Street,10038,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Blocked - Construction,Street,11692,ARVERNE,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Sanitation Condition,12 Dead Animals,Sidewalk,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
BCC - Queens West,Sanitation Condition,12 Dead Animals,Sidewalk,11102,ASTORIA,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Sanitation Condition,12 Dead Animals,Sidewalk,10023,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Landmark Bldg - Illegal Work,,11222,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Found Property,Electronics/Phones,Taxi,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11417,OZONE PARK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
